Partner,Tenure,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,City,Gender,Churn Value,CLTV,Referred a Friend,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Device Protection Plan,Premium Tech Support,Streaming Music,Unlimited Data,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Age,Number of Dependents,Satisfaction Score
Yes,1,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,Los Angeles,Female,0,3964,No,0,1,0.0,10,No,No,No,Yes,0.0,0,0.0,29.85,36,0,3
No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,Los Angeles,Male,0,3441,No,0,34,17.09,16,Yes,No,No,Yes,0.0,0,581.06,2470.56,46,0,3
No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Los Angeles,Male,1,3239,No,0,2,10.47,21,No,No,No,Yes,0.0,0,20.94,129.09,37,0,1
No,45,No,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,Los Angeles,Male,0,4307,No,0,45,0.0,10,Yes,Yes,No,Yes,0.0,0,0.0,1840.75,53,0,3
No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Los Angeles,Female,1,2701,No,0,2,9.12,51,No,No,No,Yes,0.0,0,18.24,169.89,19,2,2
No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Los Angeles,Female,1,5372,No,0,8,12.15,26,Yes,No,Yes,Yes,0.0,0,97.2,917.7,31,2,3
No,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,Los Angeles,Male,0,4459,No,0,22,29.54,53,No,No,No,Yes,0.0,0,649.88,2599.28,42,3,4
No,10,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,Los Angeles,Female,0,2013,No,0,10,0.0,8,No,No,No,Yes,0.0,0,0.0,301.9,42,0,3
Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Los Angeles,Female,1,5003,No,0,28,4.89,47,Yes,Yes,Yes,Yes,0.0,0,136.92,3182.97,23,3,3
No,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,Los Angeles,Male,0,4529,No,0,62,7.96,8,No,No,No,Yes,0.0,0,493.52,3981.47,48,0,4
Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,Los Angeles,Male,0,5764,Yes,1,13,29.68,22,No,No,No,No,0.0,150,385.84,1123.29,37,2,3
No,16,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,Los Angeles,Male,0,4726,No,0,16,32.62,0,No,No,No,No,0.0,0,521.92,848.72,21,0,3
Yes,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,Los Angeles,Male,0,6432,Yes,7,58,5.69,10,Yes,No,Yes,Yes,0.0,0,330.02,6011.12,39,0,3
No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Los Angeles,Male,1,5340,No,0,49,44.33,11,Yes,No,Yes,Yes,0.0,0,2172.17,7208.47,38,1,1
No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,Los Angeles,Male,0,5822,No,0,25,10.4,48,Yes,Yes,Yes,Yes,0.0,0,260.0,2946.05,27,0,3
Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,Los Angeles,Female,0,5141,Yes,7,69,33.23,3,Yes,Yes,Yes,Yes,0.0,0,2292.87,10188.02,48,0,4
No,52,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,Los Angeles,Female,0,5186,No,0,52,22.55,0,No,No,No,No,0.0,0,1172.6,2195.55,57,0,4
No,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,Los Angeles,Male,0,4479,No,0,71,14.67,7,Yes,No,Yes,Yes,0.0,0,1041.57,8423.82,61,0,3
Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Los Angeles,Female,1,5925,Yes,6,10,9.41,69,Yes,Yes,No,Yes,0.0,0,94.1,622.45,21,0,1
No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,Los Angeles,Female,0,5982,No,0,21,6.49,73,Yes,No,Yes,No,0.0,30,136.29,2029.19,30,0,3
No,1,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Los Angeles,Male,1,5433,No,0,1,0.0,8,Yes,No,No,No,0.0,20,0.0,59.65,78,0,3
Yes,12,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,Los Angeles,Male,0,5279,Yes,10,12,11.04,0,No,No,No,No,0.0,0,132.48,334.73,45,0,4
